scenario,controller,fleet_size,tcl_share_percent,allocation_strategy,voltage_event_type,voltage_sag_pu,feeder_extra_load_kw,feeder_extra_load_kvar,inverter_s_rated_kva,inverter_q_max_kvar,comfort_band_c,thermal_calibration_source,thermal_ambient_temperature_c,thermal_setpoint_c,thermal_resistance_c_per_kw,thermal_capacitance_kwh_per_c,thermal_cop,measurement_delay_steps,frequency_nadir_hz,frequency_overshoot_hz,max_abs_frequency_deviation_hz,min_pcc_voltage_pu,max_pcc_voltage_pu,mean_pcc_voltage_pu,min_feeder_voltage_pu,max_feeder_voltage_pu,temperature_min_c,temperature_max_c,comfort_violation_count,comfort_violation_degree_minutes,aggregate_energy_kwh,reactive_support_kvarh,max_unit_apparent_kva,max_aggregate_p_kw,max_aggregate_q_kvar,mpc_feasibility_rate,mean_compute_time_ms,max_compute_time_ms,current_saturation_count,ramp_limited_count
fleet_700,dmpc_active_only,700,40.39238315060589,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.912205316504476,0.1618408231339572,0.1618408231339572,0.9452177586826497,1.0015345971285103,0.9776430743450396,0.9088193175622551,1.074624224748417,23.42034762572882,23.421689690233784,0.0,0.0,143.21956010959903,0.0,2.805082920200459,1963.5580441403213,0.0,1.0,238.6723479336851,553.0950000975281,0.0,29.0
fleet_700,dmpc_pq,700,40.39238315060589,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.912205316504476,0.1618408231339572,0.1618408231339572,0.9486060322501229,0.9988277755804846,0.9821993721742203,0.9125304260896726,1.0769051190049774,23.42034762572882,23.421689690233784,0.0,0.0,143.21956010959903,41.45156817602308,2.805082920200459,1963.5580441403213,1339.1770947952425,1.0,230.02481405153748,492.47499997727573,0.0,29.0
fleet_700,dmpc_full_pq,700,40.39238315060589,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.931512571599725,0.16184089045351158,0.16184089045351158,0.9807768445189541,1.0081237444080602,0.9926603600007418,0.9198917279223692,1.068163363643152,23.420325252602094,23.421689690233784,0.0,0.0,143.86625342087186,175.55762658562304,3.4058772726242115,1849.7768116781947,1540.0000000000002,1.0,537.734835531778,760.4658999480307,0.0,28.0
tcl_share_10pct,no_support,173,10.0,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.014840864900001804,0.1948408650000033,0.9459259809713659,1.0023274495858316,0.9797722500909403,0.9101014174919425,1.0708480474204047,23.417819051935254,23.421689690233784,0.0,0.0,58.147222222222226,0.0,2.0000000000000004,346.00000000000006,0.0,1.0,0.007069427212161466,0.017600017599761486,0.0,0.0
tcl_share_10pct,rule_based,173,10.0,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.014839365252640846,0.1948408650000033,0.9515721424416929,0.9996233925947277,0.9809108464106917,0.916294300759294,1.068421204418379,23.417829207029833,23.421689690233784,0.0,0.0,58.05342137205942,15.314421753821803,2.7196777195414685,346.00000000000006,324.2290300653175,1.0,0.005395859787779406,0.027099973522126675,0.0,0.0
tcl_share_10pct,dmpc_active_only,173,10.0,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.84148918463258,0.051170872230102304,0.1585108153674213,0.9482302602444257,0.9999703644272829,0.980464518558654,0.9143014272176009,1.0684223431530548,23.420338678525074,23.421689690233784,0.0,0.0,35.48854594286864,0.0,2.9999999999999996,518.9999999999999,0.0,1.0,232.83001735386986,549.2433999897912,0.0,10.0
tcl_share_10pct,dmpc_pq,173,10.0,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.84148918463258,0.051170872230102304,0.1585108153674213,0.9535262097684717,0.999828117975945,0.9821244842769798,0.9198126379420771,1.068422343153055,23.420338678525074,23.421689690233784,0.0,0.0,35.48854594286864,14.269228924036781,2.9999999999999996,518.9999999999999,302.3022509182326,1.0,230.5310644778954,593.6841000802815,0.0,10.0
tcl_share_10pct,dmpc_full_pq,173,10.0,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.841489184629715,0.05117087222732408,0.15851081537028477,0.9567084395127698,1.002138806274366,0.9844091228171146,0.919821859451554,1.0684324426640308,23.4203386185777,23.421689690233784,0.0,0.0,35.488545084789116,35.06759585510601,3.20054645471248,519.0000000389007,380.6,1.0,546.527412399642,835.6009999988601,0.0,10.0
tcl_share_20pct,no_support,347,20.0,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.014840864900001804,0.1948408650000033,0.9425786439190674,1.000881601708878,0.9772930857593688,0.9040770944872782,1.0746487155382909,23.417819051935254,23.421689690233784,0.0,0.0,116.63055555555556,0.0,2.0000000000000004,694.0000000000001,0.0,1.0,0.007048763973592234,0.014199991710484028,0.0,0.0
tcl_share_20pct,rule_based,347,20.0,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.01483785687776873,0.1948408650000033,0.9516194003929782,1.0008816017088782,0.980192028536726,0.9139145193852416,1.0746487155382913,23.41782920319296,23.421689690233784,0.0,0.0,116.44248273881931,28.838066191454903,2.8496738882103987,694.0000000000001,714.221384257903,1.0,0.006719010358691708,0.02459995448589325,0.0,0.0
